zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,low_zenith,radiation_temp_interaction,humidity_temp_ratio,relative_humidity_2_m_above_gnd,total_cloud_cover_sfc,total_cloud_all_layers,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,wind_speed_80_m_above_gnd,mean_sea_level_pressure_MSL,high_cloud_cover_high_cld_lay,wind_gust_10_m_above_gnd,total_precip,avg_wind_speed,total_precipitation_sfc,wind_speed_900_mb,generated_power_kw
75.136798,45.734575,1.78,0,7.6184,0.11173989835273765,31,0.0,0,0,0,4.28,4.35,1038.6,0,2.16,0.0,4.576666666666666,0.0,3.08,1300.4193
68.685423,32.981515,104.13,0,599.7887999999999,0.1254885088379764,35,0.0,0,0,0,5.76,5.01,1038.4,0,9.0,0.0,4.87,0.0,4.1,2143.0744
64.669873,22.656758,250.09,0,2118.2623000000003,0.14203536680633477,40,0.0,0,0,0,8.47,5.15,1037.1,0,5.4,0.0,3.766666666666667,0.0,4.35,2436.7275
63.506526,18.896941,366.68,0,4158.1512,0.11599704734788571,33,0.0,0,0,0,11.34,4.07,1035.3,0,7.2,0.0,3.68,0.0,4.07,2534.3489
65.351595,24.669091,435.21,0,5331.322499999999,0.10161177295024527,29,0.0,0,0,0,12.25,8.44,1034.3,0,9.0,0.0,8.223333333333334,0.0,8.44,2477.8934
69.961609,35.787961,455.68,0,5741.568,0.10498687664041995,30,0.0,0,0,0,12.6,10.19,1033.5,0,9.0,0.0,9.963333333333333,0.0,10.19,2206.8945
76.817213,48.693732,425.42,0,5385.8172,0.10846366467233477,31,0.0,0,0,0,12.66,7.15,1033.5,0,6.84,0.0,7.0,0.0,7.15,1040.8729
85.180199,62.033585,345.32,0,4281.968,0.11556645070915779,33,0.0,0,0,0,12.4,8.29,1032.7,0,6.48,0.0,8.056666666666667,0.0,8.29,93.423875
83.218833,59.11072,0.0,0,0.0,0.2653869924019341,73,0.0,0,0,0,1.92,31.7,1034.2,0,22.32,0.0,22.810000000000002,0.0,21.25,425.30454
75.034084,45.676492,1.78,0,2.6878,0.2912692055632419,80,0.0,0,0,0,1.51,32.47,1035.2,0,21.96,0.0,23.686666666666667,0.0,22.73,1355.1012
68.62586,33.017211,106.8,0,467.784,0.27384426908802656,76,0.0,0,0,0,4.38,29.63,1034.8,0,15.84,0.0,21.78,0.0,20.21,2122.2185
64.583818,22.630859,255.43,0,1992.354,0.23847659725929882,67,0.0,0,0,0,7.8,20.91,1032.8,0,10.44,0.0,18.393333333333334,0.0,18.03,2430.8578
63.395723,18.782814,372.91,0,3755.2037000000005,0.20478779747192996,58,0.0,0,0,0,10.07,17.02,1031.7,0,9.0,0.0,15.573333333333332,0.0,15.23,2549.7753
65.22152,24.520556,440.55,0,5572.9575,0.1329601119664101,38,0.0,0,0,0,12.65,5.4,1028.0,0,3.96,0.0,5.163333333333333,0.0,5.4,2505.5434
69.819392,35.647353,462.8,0,6145.9839999999995,0.1361589219006389,39,0.0,0,0,0,13.28,5.8,1027.2,0,6.12,0.0,5.376666666666666,0.0,5.5,2236.1667
76.669341,48.566224,431.65,0,5766.843999999999,0.1465917419985341,42,0.0,0,0,0,13.36,6.92,1027.2,0,7.92,0.0,6.236666666666667,0.0,6.44,1079.7043
85.035625,61.921788,350.66,0,4446.3688,0.17143057061889935,49,0.0,0,0,0,12.68,7.15,1027.5,0,9.36,0.0,6.493333333333333,0.0,6.64,97.017519
83.19827,59.194427,0.0,0,0.0,0.16437155276326845,45,0.0,0,0,0,0.62,5.24,1031.7,0,6.12,0.0,7.463333333333334,0.0,9.45,445.47816
75.002668,45.760553,1.78,0,1.4596,0.1606015257144943,44,4.0,4,0,4,0.82,7.17,1031.9,0,11.16,0.0,8.766666666666667,0.0,11.48,1411.1547
68.547439,33.020593,113.92,0,378.2144,0.16276630375809312,45,44.0,44,0,44,3.32,9.39,1032.3,0,10.08,0.0,6.896666666666667,0.0,6.11,2212.9796
64.49038,22.599143,264.33,0,1866.1698,0.1677313443488812,47,15.0,15,0,15,7.06,7.39,1030.9,0,7.92,0.0,4.4433333333333325,0.0,2.62,2522.2383
63.277688,18.662127,378.25,0,3540.4199999999996,0.12034972213372978,34,39.0,39,0,39,9.36,8.85,1029.1,0,9.0,0.0,8.11,0.0,7.75,2625.5014
65.0847,24.367718,447.67,0,3966.3561999999997,0.1453849154285309,41,0.0,0,0,0,8.86,10.46,1026.8,0,11.88,0.0,10.106666666666667,0.0,9.78,2577.2011
69.671158,35.504891,469.03,0,4329.1469,0.1487357461576599,42,0.0,0,0,0,9.23,10.54,1027.1,0,12.6,0.0,10.426666666666668,0.0,10.24,2283.7003
76.516256,48.438368,436.99,0,4024.6779000000006,0.15582943759739343,44,0.0,0,0,0,9.21,11.01,1027.0,0,12.6,0.0,10.756666666666668,0.0,10.31,1086.2028
84.886424,61.810516,356.0,0,3075.84,0.17033961460662198,48,0.0,0,0,0,8.64,9.61,1027.0,0,11.52,0.0,9.466666666666667,0.0,9.26,103.20437
83.099158,59.16669,0.0,0,-0.0,0.3651115618661258,99,0.0,0,0,0,-2.0,3.62,1036.6,0,10.08,0.0,6.5566666666666675,0.0,8.4,455.91293
74.953937,45.82124,1.78,0,-3.1506000000000003,0.3390080330164345,92,0.0,0,0,0,-1.77,2.28,1037.0,0,3.24,0.0,7.183333333333333,0.0,10.09,1417.3211
68.437019,32.972619,107.69,0,83.9982,0.2956959807250028,81,0.0,0,0,0,0.78,3.83,1037.1,0,1.8,0.0,5.73,0.0,6.44,2224.3277
64.378984,22.528242,255.43,0,1024.2743,0.2525616972146053,70,0.0,0,0,0,4.01,3.55,1036.3,0,6.48,0.0,4.04,0.0,4.55,2549.8831
63.15247,18.53492,373.8,0,2362.416,0.22184849894443054,62,0.0,0,0,0,6.32,1.14,1035.1,0,4.32,0.0,1.3499999999999999,0.0,1.61,2637.6611
64.941199,24.210671,449.45,0,3609.0834999999997,0.16003983213599832,45,0.0,0,0,0,8.03,6.41,1030.6,0,8.64,0.0,6.243333333333333,0.0,6.13,2567.6217
69.516981,35.360702,473.48,0,4228.1764,0.14889393079977312,42,0.0,0,0,0,8.93,8.53,1030.1,0,9.72,0.0,8.316666666666666,0.0,8.05,2293.5854
76.358042,48.310286,443.22,0,4037.7342,0.15234181251328563,43,0.0,0,0,0,9.11,10.59,1030.5,0,10.08,0.0,10.44,0.0,10.14,1167.8618
84.732679,61.69987,363.12,0,3071.9952000000003,0.16689748233372398,47,0.0,0,0,0,8.46,10.7,1030.6,0,9.72,0.0,10.479999999999999,0.0,10.37,114.485
83.137905,59.354669,0.0,0,-0.0,0.20537646239043536,56,0.0,0,0,0,-0.48,7.15,1041.5,0,7.56,0.0,7.583333333333333,0.0,7.7,473.56029
74.898324,45.878645,2.67,0,-1.0146,0.17963852329801666,49,0.0,0,0,0,-0.38,7.73,1042.1,0,7.92,0.0,7.8933333333333335,0.0,8.05,1441.6025
69.198913,34.916885,111.25,0,178.0,0.1565059144676979,43,0.0,0,0,0,1.6,7.29,1042.8,0,4.68,0.0,7.090000000000001,0.0,6.99,2175.1235
83.117524,59.459979,0.0,0,0.0,0.13834783558451963,38,0.0,0,0,0,1.52,15.99,1046.8,0,11.52,0.0,13.953333333333333,0.0,15.55,487.39034
74.835838,45.932756,1.78,0,3.9160000000000004,0.12347920828037046,34,0.0,0,0,0,2.2,18.72,1046.6,0,12.6,0.0,16.813333333333333,0.0,21.22,1394.0949
68.315482,33.116754,105.91,0,497.777,0.12236818427208927,34,0.0,0,0,0,4.7,18.72,1046.6,0,15.12,0.0,17.31,0.0,22.73,2183.2921
64.166111,22.469629,253.65,0,2031.7365,0.1351543605064732,38,0.0,0,0,0,8.01,11.89,1045.1,0,9.72,0.0,13.393333333333333,0.0,20.72,2499.1097
62.88069,18.261132,372.91,0,3949.1169,0.11630365827870588,33,0.0,0,0,0,10.59,7.9,1044.0,0,7.56,0.0,7.303333333333334,0.0,8.05,2675.5011
64.634418,23.884365,453.9,0,5582.97,0.16815554387808723,48,0.0,0,0,0,12.3,10.46,1042.4,0,14.04,0.0,10.286666666666667,0.0,10.95,2568.4284
69.191119,35.067678,477.04,0,5862.8216,0.17516816143497757,50,0.0,0,0,0,12.29,11.97,1042.1,0,15.48,0.0,11.746666666666668,0.0,12.1,2246.8706
76.028957,48.057721,447.67,0,5372.04,0.18236016131860425,52,0.0,0,0,0,12.0,12.1,1042.2,0,14.4,0.0,11.910000000000002,0.0,12.25,1169.1853
84.485894,61.594298,367.57,0,4366.7316,0.1824369364628285,52,0.0,0,0,0,11.88,11.27,1041.9,0,13.32,0.0,10.956666666666665,0.0,11.44,115.48638
83.05182,59.505047,0.0,0,0.0,0.09399855386840203,26,0.0,0,0,0,3.45,13.68,1042.3,0,12.96,0.0,12.530000000000001,0.0,13.68,506.59034
74.76649,45.983564,2.67,0,9.2649,0.11206709565468874,31,0.0,0,0,0,3.47,10.14,1041.4,0,14.4,0.0,9.85,0.0,10.7,1437.5185
68.216158,33.120046,111.25,0,687.525,0.1467797945082877,41,0.0,0,0,0,6.18,11.11,1041.2,0,9.0,0.0,9.516666666666667,0.0,11.75,2222.6927
64.043501,22.415204,263.44,0,2500.0456,0.14152278516841213,40,0.0,0,0,0,9.49,10.7,1040.0,0,6.12,0.0,8.26,0.0,11.46,2533.2102
62.732777,18.108999,384.48,0,4790.620800000001,0.12604600679247926,36,0.0,0,0,0,12.46,5.32,1038.8,0,6.12,0.0,4.680000000000001,0.0,5.32,2627.5657
64.47128,23.715326,462.8,0,6627.296,0.093922844122865,27,0.0,0,0,0,14.32,7.59,1032.5,0,7.92,0.0,7.116666666666666,0.0,6.88,2554.7255
69.0196,34.919123,487.72,0,7345.0632000000005,0.09021199819576005,26,0.0,0,0,0,15.06,8.21,1034.2,0,6.48,0.0,7.766666666666667,0.0,7.99,2281.9892
75.853518,47.925942,456.57,0,6789.1959,0.09027150892299146,26,0.0,0,0,0,14.87,16.22,1033.3,0,13.68,0.0,15.246666666666664,0.0,15.48,1107.7147
84.245064,61.372756,374.69,0,5054.5681,0.11512698855707508,33,0.0,0,0,0,13.49,10.08,1034.9,0,11.16,0.0,9.613333333333333,0.0,9.73,130.56522
82.999117,59.576432,0.0,0,0.0,0.28469231330754075,78,0.0,0,0,0,0.83,12.82,1035.4,0,14.76,0.0,10.356666666666667,0.0,10.66,33.746162
74.690298,46.031062,2.67,0,3.7914,0.2950067378082092,81,76.0,76,0,76,1.42,14.11,1034.2,0,15.12,0.0,10.32,0.0,9.78,335.80854
68.117352,33.140946,113.03,0,592.2772,0.25503789647616654,71,43.0,43,0,43,5.24,17.11,1033.7,0,14.76,0.0,11.200000000000001,0.0,9.5,2133.7886
63.923728,22.385128,262.55,0,2016.384,0.2421393725741552,68,23.0,23,0,23,7.68,13.34,1035.0,0,16.2,0.0,12.729999999999999,0.0,12.61,2506.0048
62.578322,17.952533,375.58,0,3064.7327999999998,0.2417262095197469,68,2.0,2,2,0,8.16,16.33,1033.3,0,20.88,0.0,15.6,0.0,15.19,2555.6055
64.301741,23.542523,450.34,0,3899.9444,0.23774883786948653,67,57.0,67,10,57,8.66,22.35,1033.3,0,23.4,0.0,21.21666666666667,0.0,20.87,2361.4471
68.842473,34.769401,468.14,0,4152.4018,0.2517551946670449,71,34.0,37,3,34,8.87,20.01,1034.2,0,22.68,0.0,19.28,0.0,18.94,2239.379
75.675693,47.798229,441.44,0,3977.3743999999997,0.2480861922313581,70,1.0,1,0,1,9.01,13.08,1033.6,0,14.4,0.0,12.829999999999998,0.0,12.73,1209.1943
84.074051,61.265693,365.79,0,3321.3732,0.24448145129858628,69,0.0,0,0,0,9.08,16.33,1031.9,0,16.56,0.0,15.483333333333334,0.0,14.84,116.31498
82.939972,59.64523,0.0,0,-0.0,0.34063438575928506,93,0.0,0,0,0,-0.13,32.5,1036.2,0,24.84,0.0,23.24,0.0,21.99,503.15395
74.60728,46.075248,2.67,0,-0.534,0.34438541857483057,94,0.0,0,0,0,-0.2,34.99,1036.6,0,25.56,0.0,25.626666666666665,0.0,23.8,1400.0511
68.007658,33.146766,107.69,0,313.3779,0.30428167789610955,84,0.0,0,0,0,2.91,29.22,1036.0,0,24.84,0.0,23.903333333333332,0.0,23.41,2166.6904
63.776773,22.289876,255.43,0,1519.8085,0.26155499820852746,73,0.0,0,0,0,5.95,27.4,1034.2,0,21.6,0.0,24.02333333333333,0.0,23.42,2542.4739
62.419861,17.800296,374.69,0,3087.4456,0.22744233981307083,64,0.0,0,0,0,8.24,24.61,1032.7,0,19.8,0.0,22.213333333333335,0.0,21.75,2677.5709
64.125882,23.366081,457.46,0,4702.6888,0.15524115301838198,44,0.0,0,0,0,10.28,16.1,1029.3,0,9.72,0.0,14.780000000000001,0.0,14.26,2607.0784
68.659827,34.618664,480.6,0,5166.45,0.1585065163790067,45,0.0,0,0,0,10.75,19.59,1029.1,0,14.4,0.0,17.80333333333333,0.0,17.08,2304.9839
75.493205,47.670941,450.34,0,4787.1142,0.15504968637677075,44,0.0,0,0,0,10.63,25.23,1028.7,0,18.72,0.0,22.47,0.0,20.87,1244.6791
83.898968,61.159809,371.13,0,3607.3836,0.16968925654894473,48,0.0,0,0,0,9.72,26.83,1029.1,0,20.88,0.0,23.53333333333333,0.0,21.67,135.79522
82.874387,59.711404,0.0,0,-0.0,0.24616062899551772,67,0.0,0,0,0,-0.97,24.97,1029.2,0,28.08,0.0,18.023333333333333,0.0,15.78,445.91228
74.517462,46.116121,2.67,0,-2.9904,0.26835275521082236,73,0.0,0,0,0,-1.12,26.21,1030.2,0,27.36,0.0,18.766666666666666,0.0,15.58,1353.1714
67.890934,33.148459,110.36,0,281.418,0.22850924918389554,63,0.0,0,0,0,2.55,25.28,1029.0,0,31.32,0.0,16.093333333333334,0.0,10.69,2127.6647
63.632764,22.219137,260.77,0,1942.7365,0.18531717747683538,52,0.0,0,0,0,7.45,17.32,1026.1,0,24.12,0.0,13.420000000000002,0.0,10.38,2437.0792
62.253394,17.637551,380.03,0,4096.7234,0.1338358045997253,38,0.0,0,0,0,10.78,26.41,1024.3,0,32.04,0.0,22.926666666666666,0.0,21.05,2568.2777
63.943789,23.18615,453.01,0,5712.456099999999,0.10848264277715566,31,0.0,0,0,0,12.61,26.05,1023.7,0,32.76,0.0,23.58,0.0,22.38,2350.5334
68.471763,34.467074,477.04,0,6044.0968,0.11195857532712897,32,0.0,0,0,0,12.67,26.9,1023.2,0,32.76,0.0,24.13333333333333,0.0,22.8,968.71618
