Modèle,MAE_Test,RMSE_Test,R²_Test,Overfitting,Rang
XGBoost,263.7398129526429,408.65520968069194,0.8171804000851475,0.17869913869495258,1
Random Forest,296.17641497708223,423.7250824254631,0.8034482023428874,0.16514819881519438,2
Régression Linéaire,451.58607454829803,564.4971317668131,0.6511552802377935,-0.015050258813030015,3
